MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly,Par,Cri,WCRT,Advantage
213848,106923,268993,538000,77498,865,10206.000000,27,7,6,2,2,8,0,5,7,213848,0.000000
167619,83808,282887,565800,41666,668,8304.500000,50,9,8,3,3,8,0,8,8,198929,18.680000
136350,68173,218649,437342,31216,15,3378.500000,82,10,10,4,4,9,999,10,10,151728,11.280000
166321,83159,282888,565800,30162,78,7370.000000,56,9,10,2,2,5,999,6,11,235864,41.820000
169080,84539,291793,583600,68452,91,13732.000000,34,9,6,3,3,8,0,8,6,190459,12.650000
174662,87328,254092,508200,45740,194,10910.000000,37,8,9,2,2,7,0,5,9,182871,4.700000
109944,54968,218180,436400,16758,37,3263.000000,101,11,11,4,4,5,999,11,11,163411,48.640000
86993,43495,110794,221600,30167,776,6551.000000,26,7,6,2,2,7,0,6,6,97272,11.820000
240836,120416,291092,582200,58694,218,14831.000000,32,6,8,2,2,7,0,5,8,240836,0.000000
204132,102065,240393,480800,61114,63,9911.500000,32,6,8,2,2,7,0,5,8,204132,0.000000
92689,46343,187988,376000,27457,69,6114.000000,52,10,7,3,3,7,999,10,7,134929,45.580000
209084,104538,282887,565800,39327,276,9477.000000,56,10,8,3,3,3,999,9,8,266404,27.420000
147138,73567,282889,565800,52546,12,10652.000000,42,11,6,3,3,6,999,10,6,223050,51.600000
109846,54922,112192,224400,37332,381,5861.000000,32,6,8,2,2,7,0,5,8,109846,0.000000
180597,90297,284793,569600,54380,435,15102.000000,32,7,8,2,2,7,0,5,8,224487,24.310000
144580,72289,182091,364200,48826,89,6329.000000,32,6,8,2,2,7,0,5,8,144580,0.000000
171617,85807,282891,565800,42376,117,7888.000000,51,9,9,3,3,5,999,7,9,241726,40.860000
214447,107219,282886,565800,47704,343,5354.000000,65,8,11,3,3,3,999,7,11,274304,27.920000
176268,88131,282888,565800,62300,405,8896.000000,47,10,7,3,3,4,999,9,7,255653,45.040000
160246,80118,282885,565800,34016,239,8987.000000,51,9,8,3,3,4,999,7,9,248386,55.010000
121444,60720,163191,326400,33342,9,5403.000000,38,8,8,2,2,3,999,6,8,159691,31.500000
80932,40461,104390,208800,20720,21,2629.000000,47,9,7,3,3,3,999,9,7,102447,26.590000
81480,40738,120892,241800,19862,5,6549.000000,32,6,8,2,2,7,0,5,8,81480,0.000000
221499,110746,282888,565800,32427,380,6729.000000,57,11,7,4,4,3,999,11,7,247007,11.520000
83762,41878,104384,208800,20527,10,3292.000000,50,8,10,3,3,3,999,6,10,111831,33.520000
176861,88430,194896,389800,76994,300,9096.500000,20,7,5,2,2,6,0,6,5,200783,13.530000
106516,53255,218179,436400,26133,75,4341.000000,79,11,9,4,4,9,999,11,9,141348,32.710000
195580,97787,282888,565800,46160,509,9614.500000,50,8,10,2,2,5,999,6,10,251332,28.510000
211455,105726,282889,565800,57642,39,8884.000000,42,9,7,3,3,7,999,8,7,230166,8.850000
139924,69960,182991,366000,42640,1533,10835.000000,27,6,7,2,2,4,999,5,7,188251,34.540000
219594,109795,289594,579200,121810,1092,20675.500000,20,6,5,2,2,6,0,6,5,219594,0.000000
341362,170680,286395,572800,166668,1643,13235.500000,20,6,5,2,2,6,0,6,5,350712,2.740000
143862,71930,260991,522000,69511,1350,10969.500000,32,7,6,2,2,9,0,6,7,143862,0.000000
218143,109070,285995,572000,100993,1440,18999.500000,20,6,5,2,2,6,0,6,5,222795,2.140000
127559,63777,196891,393800,36643,168,10004.500000,32,7,7,2,2,9,0,6,7,127559,0.000000
111369,55683,179657,359329,30142,732,8445.000000,37,10,7,3,3,9,0,7,7,122545,10.040000
79521,39759,133288,266600,22972,185,5431.500000,44,9,9,2,2,8,0,6,9,87810,10.430000
175788,87892,282885,565800,37897,919,7673.500000,52,11,7,3,3,4,999,10,7,233912,33.070000
144387,72191,163190,326400,31053,96,5762.000000,37,7,9,2,2,3,999,5,9,180194,24.800000
136088,68042,169990,340000,37541,252,7845.000000,32,6,7,2,2,9,0,6,7,136088,0.000000
104803,52400,127190,254400,22053,68,6703.500000,32,7,7,2,2,9,0,6,7,104803,0.000000
218925,109460,266589,533200,67915,389,10327.500000,32,8,7,2,2,9,0,6,7,229410,4.790000
51184,25591,104392,208800,35899,564,4911.500000,32,11,5,3,3,7,999,10,5,70041,36.850000
154966,77482,282890,565800,48928,346,11530.500000,38,9,6,3,3,7,999,9,6,194542,25.540000
111394,55695,138228,276473,32314,276,4105.500000,32,7,7,2,2,9,0,6,7,111394,0.000000
213938,106967,237093,474200,56071,1575,5637.000000,32,7,7,2,2,9,0,6,7,213938,0.000000
92031,46014,187988,376000,30771,60,6330.500000,46,11,6,3,3,7,999,11,6,127441,38.480000
57468,28731,104393,208800,21926,9,3462.000000,42,9,7,3,3,4,999,8,7,81275,41.430000
107078,53538,104392,208800,46364,396,2453.000000,44,8,8,3,3,4,999,7,8,124036,15.840000
184118,92058,235691,471400,64340,433,9263.000000,32,7,6,2,2,9,0,6,7,184118,0.000000
93613,46805,118993,238000,29471,95,6066.500000,32,7,7,2,2,9,0,6,7,93613,0.000000
132497,66247,160293,320600,43740,46,7335.000000,32,8,6,2,2,9,0,6,7,132497,0.000000
88032,44015,105793,211600,36780,172,3962.000000,32,8,7,2,2,9,0,6,7,88032,0.000000
99764,49880,187987,376000,21784,312,5587.000000,56,10,8,3,3,5,999,9,8,143283,43.630000
117355,58676,193494,387000,54777,487,9935.000000,26,9,5,2,2,5,999,8,5,139562,18.930000
237345,118669,291794,583600,85219,4488,16215.000000,23,7,5,2,2,3,999,7,5,278018,17.140000
125106,62549,187982,376000,22385,38,3865.000000,74,10,11,3,3,4,999,8,11,168100,34.370000
119020,59505,170590,341200,26238,602,6177.000000,44,7,9,2,2,3,999,6,9,157980,32.740000
