MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly
111259,55628,109791,219600,78360,4223,4223.000000,26,8,5,2,2,8,0
214974,107485,201790,403600,139843,7761,7761.000000,26,8,6,2,2,8,0
131425,65711,153591,307200,66316,5907,5907.500000,26,6,6,2,2,8,0
191476,95736,195190,390400,100153,7507,7507.000000,26,7,6,2,2,8,0
237179,118588,210991,422000,192725,8115,8128.000000,26,8,5,2,2,8,0
199536,99767,165795,331600,146419,6376,6376.500000,26,7,6,2,2,8,0
256314,128156,232199,464400,130596,8930,8934.000000,26,7,6,2,2,8,0
163321,81660,134799,269600,103160,5184,5184.000000,26,6,6,2,2,8,0
227328,113663,205197,410400,187240,7892,7893.500000,26,6,6,2,2,8,0
139304,69651,126097,252200,92809,4850,4850.000000,26,8,6,2,2,8,0
197135,98566,163089,326200,164621,6273,6273.000000,26,6,6,2,2,8,0
147790,73894,120597,241200,82976,4638,4638.000000,26,7,6,2,2,8,0
233555,116776,193990,388000,196223,7461,7461.000000,26,7,6,2,2,8,0
143911,71953,164189,328400,73669,6315,6315.000000,26,7,6,2,2,8,0
264035,132017,230897,461800,208036,8880,8880.000000,26,7,6,2,2,8,0
90419,45208,104091,208200,66184,4003,4003.000000,26,7,6,2,2,8,0
213500,106748,181190,362400,154119,6969,6969.000000,26,9,6,2,2,8,0
148741,74370,151498,303000,109427,5826,5850.000000,26,6,6,2,2,8,0
112597,56298,130997,262000,87186,5038,5039.000000,26,7,6,2,2,8,0
83588,41793,113191,226400,54132,4353,4359.500000,26,9,5,2,2,8,0
147728,73863,163198,326400,94583,6276,6276.000000,26,8,6,2,2,4,999
203742,101869,168290,336600,138059,6473,6474.000000,26,7,6,2,2,8,0
125248,62622,101889,203800,55115,3919,3919.000000,26,6,6,2,2,8,0
134504,67252,168497,337000,87824,6480,6497.500000,26,6,6,2,2,8,0
260490,130243,265791,531600,113487,10223,10223.500000,26,6,6,2,2,8,0
85307,42652,113894,227800,62597,4380,4629.500000,26,7,5,2,2,8,0
218267,109133,185598,371200,100298,7138,7138.000000,26,7,6,2,2,8,0
103498,51746,106790,213600,65111,4107,4108.500000,26,7,6,2,2,8,0
201323,100660,221896,443800,92728,8534,8536.000000,26,6,6,2,2,8,0
175426,87712,210794,421600,121800,8107,8128.500000,26,7,6,2,2,8,0
232881,116438,191489,383000,152513,7365,7370.500000,26,6,6,2,2,8,0
187055,93527,211896,423800,95048,8150,8150.500000,26,6,6,2,2,8,0
111271,55634,152189,304400,72014,5853,5853.000000,26,7,6,2,2,8,0
156833,78415,164290,328600,89568,6319,6319.000000,26,7,6,2,2,8,0
88013,44004,118489,237000,64233,4557,4557.000000,26,8,6,2,2,8,0
244401,122199,253197,506400,148069,9738,9738.000000,26,6,6,2,2,8,0
159321,79660,138697,277400,126250,5334,5335.000000,26,7,5,2,2,8,0
350342,175169,291590,583200,172499,11215,11219.500000,26,7,6,2,2,8,0
168571,84285,147998,296000,115966,5692,5700.000000,26,7,5,2,2,8,0
153605,76800,140889,281800,107464,5419,5419.000000,26,8,6,2,2,8,0
104545,52271,102791,205600,45542,3953,3964.500000,26,6,6,2,2,8,0
169856,84925,144888,289800,141809,5573,5573.000000,26,6,6,2,2,8,0
284394,142196,259897,519800,163615,9996,9998.000000,26,6,6,2,2,8,0
91523,45759,108190,216400,57371,4161,4161.500000,26,6,6,2,2,8,0
207705,103851,204896,409800,108179,7880,7885.500000,26,7,6,2,2,8,0
136751,68373,140590,281200,52229,5407,5407.500000,26,6,6,2,2,8,0
265275,132637,291196,582400,209102,11200,11200.500000,26,8,6,2,2,8,0
233169,116583,296691,593400,175658,11411,11411.000000,26,7,6,2,2,8,0
122867,61433,117697,235400,50480,4526,4526.000000,26,7,6,2,2,8,0
310709,155352,263989,528000,259943,10153,10153.000000,26,6,6,2,2,8,0
146310,73155,119498,239000,95074,4596,4596.000000,26,7,6,2,2,8,0
127149,63572,130590,261200,102034,5023,5023.000000,26,7,6,2,2,8,0
203922,101960,183197,366400,124378,7046,7046.000000,26,7,6,2,2,8,0
260065,130031,273490,547000,100903,10519,10519.000000,26,7,5,2,2,8,0
70366,35182,102596,205200,37285,3946,3963.500000,26,7,6,2,2,8,0
91486,45743,105997,212000,70630,4076,4076.500000,26,6,6,2,2,8,0
176105,88051,193496,387000,106999,7442,7447.500000,26,7,6,2,2,8,0
132245,66121,198395,396800,91485,7630,7630.500000,26,7,6,2,2,8,0
121800,60900,111798,223600,79660,4300,4300.000000,26,8,6,2,2,8,0
144543,72270,122591,245200,116184,4715,4716.000000,26,6,5,2,2,8,0
262511,131255,285997,572000,137454,11000,11054.500000,26,7,6,2,2,8,0
279948,139972,229189,458400,164825,8815,8816.000000,26,6,6,2,2,8,0
270699,135347,223789,447600,210751,8607,8607.000000,26,7,6,2,2,8,0
146736,73367,124196,248400,109774,4776,4780.000000,26,7,6,2,2,8,0
100944,50471,152097,304200,70751,5850,5850.000000,26,6,6,2,2,8,0
162914,81456,159497,319000,103904,6134,6134.000000,26,7,6,2,2,8,0
143006,71501,149589,299200,106003,5753,5753.000000,26,7,5,2,2,8,0
147456,73727,158096,316200,78004,6080,6093.500000,26,7,5,2,2,8,0
174379,87188,151191,302400,144470,5815,5815.000000,26,9,6,2,2,8,0
284320,142159,230999,462000,226665,8884,8884.000000,26,7,6,2,2,8,0
253503,126750,222196,444400,153145,8546,8555.000000,26,6,6,2,2,8,0
146327,73163,125898,251800,95468,4842,4842.000000,26,7,6,2,2,8,0
225069,112533,185298,370600,181004,7126,7126.000000,26,7,6,2,2,8,0
221933,110966,214399,428800,188949,8246,8246.000000,26,8,5,2,2,8,0
127344,63671,136097,272200,56713,5234,5235.000000,26,8,6,2,2,8,0
146591,73293,120189,240400,117423,4623,4623.000000,26,6,6,2,2,8,0
174939,87468,228797,457600,103382,8800,8807.500000,26,7,6,2,2,8,0
195778,97887,165094,330200,110143,6350,6352.000000,26,6,6,2,2,8,0
248905,124451,260292,520600,191019,10011,10014.000000,26,8,5,2,2,8,0
198784,99391,168898,337800,152992,6496,6496.000000,26,6,6,2,2,8,0
86386,43192,108392,216800,54282,4169,4220.000000,26,6,6,2,2,8,0
238897,119446,199795,399600,123987,7684,7684.500000,26,6,6,2,2,8,0
124843,62421,103499,207000,95167,3980,3980.000000,26,6,6,2,2,8,0
298736,149367,258498,517000,188405,9942,9942.000000,26,7,6,2,2,8,0
123750,61872,198990,398000,85213,7653,7653.000000,26,7,6,2,2,8,0
180208,90102,250991,502000,124652,9653,9656.500000,26,7,6,2,2,8,0
194113,97055,169997,340000,141213,6538,6539.000000,26,7,4,2,2,8,0
155690,77843,126489,253000,126774,4865,4865.000000,26,7,6,2,2,8,0
187568,93782,157490,315000,128152,6057,6057.000000,26,8,6,2,2,7,0
121991,60994,130192,260400,56802,5007,5027.000000,26,7,6,2,2,8,0
157504,78751,164597,329200,70082,6330,6334.000000,26,7,6,2,2,7,0
108480,54239,134897,269800,83050,5188,5188.000000,26,8,5,2,2,7,0
