"MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly"
"290868,145433,260998,522000,133438,26100,27760.000000,10,5,4,1,1,9,0"
"298749,149373,260997,522000,171610,26871,36159.000000,10,5,4,1,1,8,0"
"229325,114661,184397,368800,172934,18473,19805.500000,10,4,4,1,1,7,0"
"170382,85190,196899,393800,109945,19694,21732.500000,10,5,4,1,1,8,0"
"274560,137279,196897,393800,214007,19696,19849.500000,10,5,4,1,1,9,0"
"169631,84814,191996,384000,80485,19321,23902.000000,10,4,4,1,1,7,0"
"224420,112209,169999,340000,155229,17000,17089.000000,10,6,4,1,1,8,0"
"170862,85430,169998,340000,118032,17002,17383.000000,10,4,4,1,1,9,0"
"273724,136861,228697,457400,158898,22931,30530.000000,10,5,4,1,1,7,0"
"159571,79785,127197,254400,90928,12861,14501.000000,10,5,4,1,1,8,0"
"144245,72122,127198,254400,89834,12721,13273.000000,10,5,4,1,1,9,0"
"145247,72623,168899,337800,91948,16890,18527.500000,10,5,4,1,1,7,0"
"307729,153863,266597,533200,137306,26666,36244.500000,10,4,4,1,1,8,0"
"332965,166482,266598,533200,194994,26684,36317.500000,10,4,4,1,1,9,0"
"168257,84127,184897,369800,108072,18493,18930.000000,10,4,4,1,1,7,0"
"190334,95167,138099,276200,84690,13810,13820.500000,10,4,4,1,1,8,0"
"163251,81625,138097,276200,81307,13815,15326.500000,10,6,4,1,1,9,0"
"392220,196109,285098,570200,173176,28512,29047.500000,10,4,4,1,1,7,0"
"331182,165590,237097,474200,192960,23711,23770.500000,10,4,4,1,1,8,0"
"319035,159516,237098,474200,200177,23712,23776.500000,10,4,4,1,1,9,0"
"215080,107539,226898,453800,146856,22690,22733.500000,10,5,4,1,1,7,0"
"280915,140457,235698,471400,149679,23579,26019.000000,10,5,4,1,1,8,0"
"297462,148730,235697,471400,145990,23575,30133.500000,10,4,4,1,1,9,0"
"91169,45584,118998,238000,44094,11907,25300.500000,10,4,4,1,1,8,0"
"141971,70985,118998,238000,103312,11900,12658.500000,10,4,4,1,1,9,0"
"97042,48520,101898,203800,66407,10194,10587.000000,10,5,4,1,1,7,0"
"166792,83395,160298,320600,104307,16084,17089.000000,10,5,4,1,1,8,0"
"171081,85539,160297,320600,62773,16050,19970.000000,10,4,4,1,1,9,0"
