MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly
259904,129951,273697,547400,143707,22811,23777.500000,12,5,4,1,1,3,0
166871,83435,128998,258000,123788,7166,7177.000000,18,9,4,2,2,3,0
100293,50146,104198,208400,47492,10703,12976.000000,10,5,4,1,1,3,0
284939,142467,217496,435000,173025,15535,15683.500000,14,6,4,2,2,3,0
379030,189514,293197,586400,290182,14660,14665.500000,20,9,4,2,2,3,0
344399,172198,289394,578800,289092,18087,18087.500000,16,7,4,2,2,3,0
289097,144547,202896,405800,193898,16909,17559.000000,12,5,4,1,1,3,0
332129,166064,237898,475800,179233,23805,24135.000000,10,4,4,1,1,3,0
164043,82021,159497,319000,104401,7250,7267.000000,22,10,4,2,2,3,0
276124,138061,293896,587800,116385,20993,22247.000000,14,6,4,2,2,3,0
139618,69807,110296,220600,62402,9191,9336.000000,12,5,4,1,1,3,0
237558,118778,209198,418400,175175,11622,11626.000000,18,8,4,2,2,3,0
226758,113377,183595,367200,157845,11475,11485.500000,16,7,4,2,2,3,0
144201,72098,182293,364600,79353,9115,9123.500000,20,9,4,2,2,3,0
258383,129190,281497,563000,149015,17593,18020.500000,16,7,4,2,2,3,0
84919,42458,105494,211000,51950,5861,5871.000000,18,9,4,2,2,3,0
136748,68373,110797,221600,99723,9233,9256.500000,12,6,4,1,1,3,0
143642,71820,107097,214200,61856,10747,11151.000000,10,4,4,1,1,3,0
164998,82498,175296,350600,103558,8765,8903.000000,20,9,4,2,2,3,0
155521,77759,190096,380200,114816,11881,11890.500000,16,7,4,2,2,3,0
133756,66877,149597,299200,99832,6800,6800.500000,22,10,4,2,2,3,0
280570,140283,219896,439800,208255,12216,12217.500000,18,9,4,2,2,3,0
287501,143749,212096,424200,119955,15150,16331.500000,14,6,4,1,1,3,0
251728,125863,203896,407800,199063,12743,13195.000000,16,8,4,2,2,3,0
140845,70422,100298,200600,104742,8358,8375.500000,12,5,4,1,1,3,0
252298,126147,233497,467000,156375,23350,23862.500000,10,4,4,1,1,3,0
159103,79549,181996,364000,65515,9100,9113.500000,20,9,4,2,2,3,0
115245,57621,121993,244000,80636,6777,6785.500000,18,8,4,2,2,3,0
170740,85369,151897,303800,70294,12668,13766.500000,12,5,4,1,1,3,0
217041,108520,205698,411400,81548,12862,13626.500000,16,7,4,2,2,3,0
91381,45690,103499,207000,43161,7392,7514.500000,14,6,4,1,1,3,0
174481,87239,158097,316200,108053,7186,7217.500000,22,9,4,2,2,3,0
168029,84014,130698,261400,95212,13083,14996.500000,10,4,4,1,1,3,0
166339,83169,169697,339400,122052,14141,14243.000000,12,5,4,1,1,3,0
